Provinsi,URL Produk,Nama Produk,Lokasi Toko,Harga (IDR),Unit Terjual,Volume Penjualan (IDR),Rating,Tahun
Kepulauan Riau,https://www.tokopedia.com/lapakabdicom/ikan-selar-1kg-ikan-laut-seafood-segar-garansi-termurah?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+batam%26search_id%3D20260607152801496E05E1AEA0A92EF0TN%26src%3Dsearch,Ikan Selar 1Kg Ikan Laut Seafood Segar Garansi Termurah,0,63000,9,567000,0.0,2024
Kepulauan Riau,https://www.tokopedia.com/fish-supplier-bali/fresh-frozen-ikan-laut-potong-500-gram-ikan-potong-ikan-campur-berkualitas-1735383907005269747-1735383907543844595?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+batam%26search_id%3D20260607152801496E05E1AEA0A92EF0TN%26src%3Dsearch,Steak Ikan Laut Potong 1KG Segar Fresh - Ikan Potong Ikan Campur Berkualitas - Bergaransi,Fish supplier bali,35000,2,70000,5.0,2024
Kepulauan Riau,https://www.tokopedia.com/lapakabdicom/ikan-kerapu-kerapuh-1-kg-ikan-laut-seafood-segar-garansi-termurah?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+batam%26search_id%3D20260607152801496E05E1AEA0A92EF0TN%26src%3Dsearch,Ikan Kerapu Kerapuh 1 Kg Ikan Laut Seafood Segar Garansi Termurah,0,105000,1,105000,0.0,2024
Kepulauan Riau,https://www.tokopedia.com/dshopmart/d-mart-shop-aneka-ikan-laut-segar-1731272471954163089?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+batam%26search_id%3D20260607152801496E05E1AEA0A92EF0TN%26src%3Dsearch,D'MART SHOP ANEKA IKAN LAUT SEGAR,0,75000,0,0,0.0,2024
Jambi,https://www.tokopedia.com/netbuku/ikan-laut-jambi-ikan-segar-1731124250804716930?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+jambi%26search_id%3D202606071528155737C6EC2E07162C5GFD%26src%3Dsearch,Ikan Laut Jambi Ikan Segar per 1kg,Ikan Laut Jambi Ikan Segar per 1kg,43900,5,219500,5.0,2024
Jambi,https://www.tokopedia.com/lapakabdicom/cumi-sotong-500g-ikan-laut-segar-garansi-termurah?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+jambi%26search_id%3D202606071528155737C6EC2E07162C5GFD%26src%3Dsearch,Cumi Sotong 500g Ikan Laut Segar Garansi Termurah,0,38500,0,0,5.0,2024
Jambi,https://www.tokopedia.com/netbuku/ikan-laut-banjar-kembung-bolo-1kg-jambi?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+jambi%26search_id%3D202606071528155737C6EC2E07162C5GFD%26src%3Dsearch,Ikan Laut Banjar / Kembung / Bolo 1kg Jambi,Ikan Laut Banjar / Kembung / Bolo 1kg Jambi,50000,0,0,0.0,2024
Jambi,https://www.tokopedia.com/lapakabdicom/ikan-kembung-500gr-ikan-laut-segar-garansi-termurah?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+jambi%26search_id%3D202606071528155737C6EC2E07162C5GFD%26src%3Dsearch,Ikan Kembung 500gr Ikan Laut Segar Garansi Termurah,0,23900,0,0,5.0,2024
Jambi,https://www.tokopedia.com/pindo-ar/ikan-laut-kembung-banjar-segar-ikan-basah-berkualitas-1731642634635544334?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+jambi%26search_id%3D202606071528155737C6EC2E07162C5GFD%26src%3Dsearch,IKAN LAUT KEMBUNG BANJAR SEGAR / IKAN BASAH BERKUALITAS,0,88000,0,0,5.0,2024
Jambi,https://www.tokopedia.com/fish-supplier-bali/fresh-frozen-ikan-laut-ekor-kuning-500-gram-ikan-ekor-kuning-1735384465624434419-1735384465295705843?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+jambi%26search_id%3D202606071528155737C6EC2E07162C5GFD%26src%3Dsearch,Ikan Laut Ekor Kuning Bersih 1KG Segar Fresh - Ikan Ekor Kuning - Berkualitas - Bergaransi,Fish supplier bali,34000,3,102000,5.0,2024
Jambi,https://www.tokopedia.com/lapakabdicom/ikan-kakap-putih-1-kg-ikan-laut-seafood-segar-garansi-termurah?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+jambi%26search_id%3D202606071528155737C6EC2E07162C5GFD%26src%3Dsearch,Ikan Kakap Putih 1 kg Ikan Laut Seafood Segar Garansi Termurah,0,97500,6,585000,0.0,2024
Jambi,https://www.tokopedia.com/fresh-goods-official/ikan-bawal-hitam-ikan-bawal-laut-ikan-dorang-hitam-ikan-dorang-laut-dijamin-segar-dan-berkualitas-by-freshgoods-500-gram-utuh-73534?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+jambi%26search_id%3D202606071528155737C6EC2E07162C5GFD%26src%3Dsearch,21%,0,31600,0,0,4.9,2024
